id	name	rarity	description	requirements	effects
2251	The governor of this sea has prudently p	-1	The governor of this sea has prudently prepared for war!	fort 0|luck 0|poptype 64|code -34	fort 1|nation -2|2com Triton Commander|4d6units Triton Guard|6d6units Triton Trooper
2252	The governor of this sea has prudently p	-1	The governor of this sea has prudently prepared for war!	fort 0|luck 0|poptype 63|code -34	fort 1|nation -2|2com Triton Commander|4d6units Triton Guard|6d6units Triton
2253	The governor of this sea has prudently p	-1	The governor of this sea has prudently prepared for war!	fort 0|luck 0|poptype 45|code -34	fort 1|nation -2|2com Triton Commander|4d6units Triton Trooper|4d6units Shark Knight
2254	The Amber Clan have prepared for war!!	-1	The Amber Clan have prepared for war!!	fort 0|luck 0|poptype 46|code -34	fort 1|nation -2|1com Amber Clan Priest|1com Amber Clan Mage|8d6units Amber Clan Guard
2255	The governor of this sea has prudently p	-1	The governor of this sea has prudently prepared for war!	fort 0|luck 0|poptype 65|code -34	fort 1|nation -2|2com Ichtyid Lord|4d6units Ichtyid|6d6units Ichtyid Warrior
2256	The governor of this sea has prudently p	-1	The governor of this sea has prudently prepared for war!	fort 0|luck 0|poptype 31|code -34	fort 1|nation -2|2com Triton Commander|4d6units Triton Guard|6d6units Triton
2257	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 64|code -34	code 0|2com Triton Commander|4d6units Triton Guard|6d6units Triton Trooper
2258	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 63|code -34	code 0|2com Triton Commander|4d6units Triton Guard|6d6units Triton
2259	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 45|code -34	code 0|2com Triton Commander|4d6units Triton Trooper|4d6units Shark Knight
2260	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 46|code -34	code 0|1com Amber Clan Priest|1com Amber Clan Mage|8d6units Amber Clan Guard
2261	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 65|code -34	code 0|2com Ichtyid Lord|4d6units Ichtyid|6d6units Ichtyid Warrior
2262	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 31|code -34	code 0|2com Triton Commander|4d6units Triton Guard|6d6units Triton
2263	Local forces are trying to take control!	0	Local forces are trying to take control!	rare 4|poptype 57|code -34	code 0|2com Shambler Chief|4d6units Atlantian Militia|6d6units Shambler
2264	A band of war shamblers are ravaging the	0	A band of war shamblers are ravaging the province!	rare 4|code -34	code 0|2com War Shambler|addequip 1|3d6units War Shambler
2265	An evil mage is leading his host in an a	0	An evil mage is leading his host in an attempt to take control over the province. [Ring of Water Breathing]	rare 1|unique 1|code -34	code 0|1com Necromancer|addequip 9|addequip 1|15d6units Soulless War Shambler
2266	As an act of war, that evil and strange 	0	As an act of war, that evil and strange nation of R'lyeh has sent an army to raze the province!	rare 2|notnation 88|nation 88|code -34	nation 88|1com Traitor Prince|1com Starspawn|1d6units Shambler Thrall|4d6units Slave Trooper
2267	Bad harvest!	0	Bad harvest!	rare 12|season 2|code -7	code 0|taxboost -100|unrest 10
2268	A volcano has erupted in the province. S	-1	A volcano has erupted in the province. Survivors have fled the devastation. [Volcano]	capital 0|rare 50|freesites 1|code -7	code 0|unrest 30|kill 20|newsite -1
2269	Spring floods have destroyed crops and b	0	Spring floods have destroyed crops and buildings.	rare 10|season 0|code -7	code 0|gold -250
2270	Rain has been pouring down and the entir	0	Rain has been pouring down and the entire province is severely flooded.	rare 8|heat -1|freshwater 1|season 1|code -7	code 0|kill 7|unrest 10
2271	Rivers have swollen, flooding parts of t	0	Rivers have swollen, flooding parts of the land.	rare 10|freshwater 1|season 2|code -7	code 0|kill 4|unrest 10
2272	An earthquake has struck, killing many p	0	An earthquake has struck, killing many people and destroying your temple.	rare 3|temple 1|turn 7|code -7	code 0|kill 7|temple 0
2273	A fire has destroyed the arcane laborato	0	A fire has destroyed the arcane laboratory.	pop0ok 1|rare 3|lab 1|heat -1|turn 10|code -7	code 0|lab 0
2274	An enormous earthquake has struck! Later	0	An enormous earthquake has struck! Later, when the earth settled, horrible monsters appeared from the cracks in the ground.	pop0ok 1|rare 1|turn 10|code -7	code 0|1com Troglodyte|6d6units Troglodyte|kill 25
2275	A heatwave has struck the land. Drought 	0	A heatwave has struck the land. Drought is expected	rare 2|code -7	code 0|decscale3 Cold
2276	A hailstorm has devastated the countrysi	0	A hailstorm has devastated the countryside, killing cattle and shepherds.	rare 2|code -7	code 0|kill 2|unrest 5|gold -80
2277	Storms at sea have taken many ships late	0	Storms at sea have taken many ships lately, diminishing trade.	rare 10|coast 1|heat 0|code -7	code 0|landgold -10
2278	Heavy snowfalls have blocked important t	0	Heavy snowfalls have blocked important trade routes.	rare 8|season 3|cold 0|code -7	code 0|gold -200
2279	The harsh winter has killed many poor fo	0	The harsh winter has killed many poor folks.	rare 8|season 3|cold 0|code -7	code 0|kill 4
2280	The wolves are hungry this winter and lo	0	The wolves are hungry this winter and locals are being attacked and killed by the score.	rare 8|season 3|code -7	1com Dire Wolf|1d6units Dire Wolf|5d6units Wolf|kill 2|unrest 10
2281	The weather is getting increasingly cold	0	The weather is getting increasingly colder and an unseasonal winter is expected.	pop0ok 1|rare 8|season 2|code -7	code 0|incscale2 Cold
2282	The temperature has dropped considerably	0	The temperature has dropped considerably and blizzards have devastated the land. Many have died from starvation.	rare 3|cold 1|code -7	code 0|incscale2 Cold|kill 4
2283	A hurricane has struck the land, devasta	0	A hurricane has struck the land, devastating the countryside.	pop0ok 1|rare 3|code -7	code 0|unrest 25|kill 3
2284	A blizzard has struck the province, kill	0	A blizzard has struck the province, killing animals and young. The heavy snowfalls hampered trade and production.	rare 3|cold 2|code -7	code 0|kill 2|unrest 5|gold -150
2285	Insect swarms are eating the crops and a	0	Insect swarms are eating the crops and annoying the populace.	rare 3|growth -2|code -7	code 0|unrest 10|gold -50
2286	Disease is spreading.	2	Disease is spreading.	land 1|pop 20|turn 10|code 0	code -36|disease 1|kill 1
2287	The recent plague has hampered trade. Ho	0	The recent plague has hampered trade. Hopefully this will also contain the disease.	rare 7|code -36	code 0|taxboost -80|kill 1
2288	An unusual amount of dead rats have been	2	An unusual amount of dead rats have been found floating in the harbor.	coast 1|heat 0|code 0	code -36|incscale1 Misfortune
2289	A ship has come from a distant land. Aft	2	A ship has come from a distant land. After having been accepted ashore several of the crew members died with blackened limbs and lumps in their armpits. The ship has now been burnt together with the sloppy harbormaster. Hopefully it was not to late.	coast 1|heat 0|code 0	code -36|unrest 1
2290	Plague!	0	Plague!	rare 5|code -36	code 0|kill 2|incscale1 Death|disease 1
2291	Plague!	0	Plague!	rare 3|death 1|code -36	kill 4|incscale1 Death|disease 1
2292	Disease is spreading.	0	Disease is spreading.	rare 4|code -36	kill 4|disease 2
2293	A cult has emerged in the wake of the re	0	A cult has emerged in the wake of the recent plague. According to its dogm disease is a blessing, for only through suffering can the holy mysteries be revealed. Perhaps it would be wise to suppress this heresy by erecting a temple of the true faith or sending priests to preach the true tenets to the people.	rare 2|temple 0|maxdominion 5|code -36	code -43|incdom -2|incscale2 Death|disease 10
2294	An unnatural plague has swept the provin	-1	An unnatural plague has swept the province, killing thousands. Magical gems were found in the decaying corpses. Rumors of the mythical Crown of Darkness have circulated in the province ever since.	death 1|pop 200|land 1|unluck 1|code -36	code 0|4d6gems Death|kill 50|unrest 10|4d6gems Death
2295	The governor of the province has died fr	0	The governor of the province has died from the plague. His successor is incompetent.	rare 4|order 0|code -36	incscale2 Turmoil|unrest 4|landprod -2
2296	A new breed of mosquitoes are infesting 	0	A new breed of mosquitoes are infesting the swamps, spreading disease in the area.	rare 10|heat 0|swamp 1|code -36	kill 1|disease 4
2297	Miasmatic fumes are rising from the swam	0	Miasmatic fumes are rising from the swamps, spreading disease in the area.	rare 10|heat 0|swamp 1|code -36	kill 1|disease 4
2298	A wealthy merchant suffering from the pl	0	A wealthy merchant suffering from the plague has donated all his gold to get rid of the affliction.	rare 1|order 0|code -36	code 0|kill 2|disease 2|gold 750
2299	A wealthy and faithful noble has died fr	0	A wealthy and faithful noble has died from the plague. She had willed her fortunes to the temple.	rare 4|dominion 3|temple 1|code -36	code 0|kill 2|disease 2|gold 750
2300	A village succumbed to the plague is sai	-1	A village succumbed to the plague is said to be haunted by the ghosts of its victims. [Haunted Village]	freesites 1|code -36	newsite -1
2301	A plague has struck the land. Empty cabi	0	A plague has struck the land. Empty cabins and rotting corpses litter the landscape. People are suspicious of foreigners, which has hampered trade.	rare 1|code -36	kill 5|unrest 10|taxboost -50|code 0
2302	Bubonic plague is spreading.	0	Bubonic plague is spreading.	rare 2|noseason 3|code -36	code -16|kill 2|unrest 4
2303	Hearing rumors of the plague, foreign me	0	Hearing rumors of the plague, foreign merchants are avoiding the ports.	rare 10|coast 1|noseason 3|code -36	taxboost -20|landgold -4
2304	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy to the god of death!	rare 3|growth 0|dominion 3|code -36	incdom -4|kill 2|disease 2
2305	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy!	rare 3|death 1|dominion 3|code -36	incdom 4|kill 2|disease 2
2306	Disease is spreading. To appease their p	0	Disease is spreading. To appease their punishing lord, the people of this land have erected a new temple.	rare 1|temple 0|code -36	temple 1|kill 2|disease 2
2307	A preacher has appeared.	0	A preacher has appeared.	rare 1|death 1|code -36	nation -2|1com Plague Cult Leader
2308	Plague has struck. A rich noble commissi	-1	Plague has struck. A rich noble commissioned a skull face, believing that by so altering his visage he would cheat death. His folly was soon apparent and the item has been acquired from his mausoleum. [Skullface]	unique 2|code -36	magicitem 9|kill 2|incscale1 Death|disease 1
2309	A pious mage has died from disease. His 	0	A pious mage has died from disease. His arcane laboratory and his apprentice were willed to the church. [Owl Quill]	rare 1|unique 3|lab 0|code -36	magicitem 9|lab 1|1d6gems Astral|nation -2|1com Sage
2310	A sage has come to study the manifestati	0	A sage has come to study the manifestations of the plague.	rare 1|unique 3|code -36	nation -2|1com Sage|addequip 9
2311	One of your mages has found a way to ext	0	One of your mages has found a way to extract magical essence from the phlegm of dying plague victims.	rare 4|pathdeath 2|code -36	3d6gems Death
2312	Magical gems have been found in the grav	0	Magical gems have been found in the graves of some plague victims.	rare 1|code -36	code 0|code 5|2d6gems Fire
2313	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy to the god of death!	rare 1|growth 0|dominion 3|code -36	code 0|incdom -4|kill 2|disease 2
2314	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy!	rare 1|death 1|dominion 3|code -36	code 0|incdom 4|kill 2|disease 2
2315	Winter has come, limiting travel. This h	0	Winter has come, limiting travel. This has also contained the spread of the plague.	rare 20|season 3|code -36	code 0
2316	Some plague victims have donated their r	0	Some plague victims have donated their riches to the church in hope of salvation.	rare 7|dominion 2|code -36	code 0|gold 200|kill 1
2317	Disease is spreading. [Plaguewater Oasis	0	Disease is spreading. [Plaguewater Oasis]	site 1|rare 2|turn 10|code 0	code -36|disease 1|kill 1
2318	Disease is spreading. [Plague Barrow]	0	Disease is spreading. [Plague Barrow]	site 1|rare 2|turn 10|code 0	code -36|disease 1|kill 1
2319	Disease is spreading. [Plaguewater Oasis	0	Disease is spreading. [Plaguewater Oasis]	site 1|rare 2|turn 10|code 0	code -36|disease 1|kill 1
2320	Disease is spreading. [Plaguewind Waste]	0	Disease is spreading. [Plaguewind Waste]	site 1|rare 2|turn 10|code 0	code -36|disease 1|kill 1
2321	Disease is spreading. [Plaguewater Strea	0	Disease is spreading. [Plaguewater Stream]	site 1|rare 2|turn 10|code 0	code -36|disease 1|kill 1
2322	Some cultists have appeared. They worshi	0	Some cultists have appeared. They worship Mabakiel as a divine herald of truth and hope.	monster Heliophagus|unique 1|rare 13|land 1|0x4300 -37	nation -2|1com Plague Cult Leader|2d6units Fellow
2323	Mabakiel has struck some innocents with 	-1	Mabakiel has struck some innocents with disease.	monster Heliophagus|code 0	code -36|kill 1|disease 1
2324	The virgin daughters of some of the vill	0	The virgin daughters of some of the villages has been offered to Mabakiel.	monster Heliophagus|unique 1|rare 10|0x4300 -37	0x6900 -37|2d6gems Slaves
2325	A great storm has blown for many days ac	13	A great storm has blown for many days across the world. Some say that an angel of mercy rode the clouds and blew away all evil from the land.	rare 10|code -37	0x6900 -36|0x6900 -37|unrest -2|decscale1 Death|worldheal 1
2326	Disease is spreading.	0	Disease is spreading.	rare 3|pop 20|land 1|code 0|0x4300 -37	code -36|disease 1|kill 1
2327	An unusual amount of dead rats have been	0	An unusual amount of dead rats have been found floating in the harbor.	rare 5|heat 0|coast 1|code 0|0x4300 -37	code -36|incscale1 Misfortune
2328	Plague!	0	Plague!	rare 1|death 1|code 0|0x4300 -37	code -36|kill 2|incscale1 Death|disease 1
2329	Disease is spreading through the sea.	2	Disease is spreading through the sea.	land 0|pop 20|turn 10|code 0	code -38|disease 1|kill 1
2330	The recent plague has hampered trade. Ho	0	The recent plague has hampered trade. Hopefully this will also contain the disease.	rare 7|code -38	code 0|taxboost -80|kill 1
2331	An unusual amount of dead fish have been	2	An unusual amount of dead fish have been found floating at the surface.	land 0|heat 0|code 0	code -38|incscale1 Misfortune
2332	Plague!	0	Plague!	rare 5|code -38	code 0|kill 2|incscale1 Death|disease 1
2333	Plague!	0	Plague!	rare 3|death 1|code -38	kill 4|incscale1 Death|disease 1
2334	Disease is spreading.	0	Disease is spreading.	rare 4|code -38	kill 4|disease 2
2335	A wealthy triton merchant suffering from	0	A wealthy triton merchant suffering from the plague has donated all his gold to get rid of the affliction.	rare 1|order 0|code -38	code 0|kill 2|disease 2|gold 750
2336	A wealthy and faithful triton noble has 	0	A wealthy and faithful triton noble has died from the plague. She had willed her fortunes to the temple.	rare 2|dominion 3|temple 1|code -38	code 0|kill 2|disease 2|gold 750
2337	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy to the god of death!	rare 1|growth 0|dominion 3|code -38	code 0|incdom -4|kill 2|disease 2
2338	Plague is rampant and people are praying	0	Plague is rampant and people are praying for mercy!	rare 1|death 1|dominion 3|code -38	code 0|incdom 4|kill 2|disease 2
2339	Some plague victims have donated their r	0	Some plague victims have donated their riches to the church in hope of salvation.	rare 4|dominion 2|code -38	code 0|gold 200|kill 1
2340	Turning currents have brought pure water	0	Turning currents have brought pure water and health to this sea.	rare 4|code -38	code 0|decscale1 Misfortune|decscale2 Death
2341	Bad omens!	1	Bad omens!	unluck -2|land 1|rare 40|code 0|pop0ok 1	code -7|incscale2 Misfortune
2342	Bad omens!	1	Bad omens!	unluck 1|land 1|code 0	code -7|incscale2 Misfortune
2343	Some magical gems have been found	0	Some magical gems have been found	rare 10|code -7	code 0|1d3gems Nature
2344	The bad omens have come true. Crops have	0	The bad omens have come true. Crops have failed!	rare 20|season 1|code -7	code -8|incscale2 Death|unrest 10
2345	Famine has struck.	0	Famine has struck.	code -8	code -9|kill 3
2346	In the wake of Famine comes Plague!	0	In the wake of Famine comes Plague!	code -9	code 0|kill 3
2347	The prophets of woe were right! Famine h	0	The prophets of woe were right! Famine has struck!	rare 15|code -7	code 0|kill 3|unrest 10|incscale1 Death
2348	The prophets of woe were right. Plague h	0	The prophets of woe were right. Plague has struck!	unluck 1|death -1|rare 10|code -7	code 0|kill 3
2349	A Hoburg scholar has plans to revolution	-1	A Hoburg scholar has plans to revolutionize agriculture. [Hoburg Holdfast]	foundsite 1|unique 1	nation -2|1com Horticulturist|earthboost Horticulturist|6d6units Clockwork Horror
2350	A Hoburg scholar has plans to revolution	-1	A Hoburg scholar has plans to revolutionize agriculture. [Hoburg Settlement]	foundsite 1|unique 1	nation -2|1com Horticulturist|earthboost Horticulturist|6d6units Clockwork Horror
2351	A Hoburg scholar has plans to revolution	-2	A Hoburg scholar has plans to revolutionize agriculture.	magic 0|unique 1|farm 1|pop 100|turn 10	nation -2|1com Horticulturist|earthboost Horticulturist|4d6units Clockwork Horror
2352	A Shadow Seer has died and his retinue h	-2	A Shadow Seer has died and his retinue has sworn itself to your cause.	magic 2|order 1|land 1|turn 10	nation -2|1com Grey Lord|addequip 2|2d6units Grey Knight
2353	A Duke of Hell has been discredited, and	-2	A Duke of Hell has been discredited, and his vassals have turned to the one true god. [Carmine Cleaver]	pathblood 2|magic 2|land 1|death 0|turn 10	nation -2|1com Demon Knight|addequip 9|3d6units Demon Knight
2354	A village blacksmith has made the most w	-2	A village blacksmith has made the most wonderful crossbows and breast plates.	farm 1|noera 1|prod 1|turn 10	nation -2|5d6units Crossbowman
2355	A village blacksmith has made the most w	-1	A village blacksmith has made the most wonderful crossbows and breast plates.	farm 1|noera 1|prod 2|turn 10	nation -2|5d6units Crossbowman
2356	A group of Atlantean slaves have been pu	-1	A group of Atlantean slaves have been purchased from a merchant for a fair price. [Slave Market]	foundsite 1|unique 1|turn 10	gold -50|nation -2|1com Traitor Prince|4d6units Meteorite Guard|1unit Shambler Thrall
2357	A group of Atlantean slaves have been pu	-2	A group of Atlantean slaves have been purchased from a merchant for a fair price.	coast 1|unique 1|turn 10	gold -50|nation -2|1com Traitor Prince|4d6units Meteorite Guard|1unit Shambler Thrall
2358	A forest hermit has been convinced that 	-2	A forest hermit has been convinced that the trees of his forest could be put to more productive use.	forest 1|unique 2|magic 1|prod 1|turn 10	nation -2|1com Animist|addequip 1|2d6units Lumber Construct
2359	Some strange beings have been encountere	-1	Some strange beings have been encountered in the Huge Crater. They seem to have been looking for something within the crater and when approached they attacked! [Huge Crater]	unique 1|site 1|code 0	code 176|2com Starspawn|addequip 1|6d6units Meteorite Guard
2360	A wealth of magical gems have been found	0	A wealth of magical gems have been found dispersed in the soil of the crater floor.	nomonster Starspawn|code 176	code 0|4d6gems Astral|2d6units Serpent Cataphract
2361	The locals yearn for bloody sports. The 	-2	The locals yearn for bloody sports. The have established an Arena to satisfy their urges. [Arena]	rare 20|chaos 2|freesites 1|pop 90	newsite -1
2362	A wizard and his apprentices have forswo	-2	A wizard and his apprentices have forsworn their Art and seen the path to salvation! All their belongings have been donated to the church, and the four men now serve in humble gratitude.	unmagic 2|land 1|dominion 6|rare 25	magicitem 2|1d3gems Fire|1d3gems Water|nation -2|3com Monk
2363	A coven of witches has been driven from 	-2	A coven of witches has been driven from the land, their belongings confiscated.	unmagic 1	magicitem 1|1d3gems Nature|1d3gems Death|curse 8
2364	A cabal of sorcerers has been destroyed,	-2	A cabal of sorcerers has been destroyed, their lab demolished and most of their belongings burnt. A few items were salvaged.	unmagic 1	magicitem 1|1d3gems Earth|1d3gems Astral|magicitem 2
2365	A seer has been strangled to death by an	-2	A seer has been strangled to death by an angry mob after giving false prophesies of good fortune. One of his eyes looked strange and it has been transported to the capital. [Eye of the Void]	unmagic 1	magicitem 9
2366	A former mage, having renounced his arts	-2	A former mage, having renounced his arts, has devised some suits of armor to the benefit of the warriors of faith. [Mirror Armor]	unmagic 2	magicitem 9|magicitem 9|magicitem 9
2367	One of your mages has consorted with a w	-1	One of your mages has consorted with a witch in the woods. After an unnaturally short pregnancy, the crone gave birth to a monster, who now follows his father like a loyal dog.	0x7A00 6|0x8000 1|forest 1|magic 0|growth 0|0x7E00 0	nation -2|1unit -12|0x6C00 0
2368	There is war in Hell! Infernal powers be	12	There is war in Hell! Infernal powers become manifest when the conflict spills over into the realm of men.	unique 2|turn 33|0x4600 1|code 0	code -19|0x5E00 -44|worldincscale2 Turmoil|worldritrebate 6|linger 4|0x6F00 5
2369	The War in Hell has subsided.	13	The War in Hell has subsided.		0x6900 -44
2370	Your temple has been desecrated! An acol	0	Your temple has been desecrated! An acolyte was found strung face down above the altar, the divine statues broken, your glorious visage defaced and entrails scattered in the chancel. Repairs have been costly.	code 0|capital 0|rare 3|temple 1|land 1|code 0|0x4300 -44	code -49|incdom -5|incscale2 Turmoil
2371	Your temple has been desecrated! An acol	2	Your temple has been desecrated! An acolyte was found strung face down above the altar, the divine statues broken, your glorious visage defaced and entrails scattered in the chancel. Repairs have been costly.	0x4600 1|temple 1|code 0	code -49|incdom -5|incscale2 Turmoil
2372	The statues of the temple have mysteriou	0	The statues of the temple have mysteriously been turned backwards during the night, as if not wanting to look upon the altar.	code 0|capital 0|rare 2|land 1|temple 1|code 0|0x4300 -44	code -49|incdom -3|incscale1 Turmoil
2373	The statues of the temple have mysteriou	2	The statues of the temple have mysteriously been turned backwards during the night, as if not wanting to look upon the altar.	0x4600 1|maxdominion 4|land 1|temple 1|code 0|capital 0	code -49|incdom -3|incscale1 Turmoil
2374	People have been disappearing. It may be	0	People have been disappearing. It may be the work of demons. Or perhaps they just ran away.	rare 2|land 1|code 0|0x4300 -44	code -49|kill 1
2375	The local ruler has employed a new jeste	0	The local ruler has employed a new jester at court.	rare 1|land 1|code 0|0x4300 -44	code -49|nation -2|1unit Demon Jester
2376	The fields have been unnaturally fertile	0	The fields have been unnaturally fertile this year, yielding an extra harvest. Some say the farmers have made pacts with demons to increase their gain.	rare 8|land 1|season 1|code 0|0x4300 -44	code -49|incscale1 Turmoil|decscale2 Death|taxboost 80|incdom -2
2377	The fields have been unnaturally fertile	2	The fields have been unnaturally fertile this year, yielding an extra harvest. Some say the farmers have made pacts with demons to increase their gain.	0x4600 1|capital 0|land 1|season 1|code 0|maxdominion 2	code -49|incscale1 Turmoil|decscale2 Death|taxboost 80|incdom -2
2378	A village well has turned red.	0	A village well has turned red.	rare 1|land 1|code 0|0x4300 -44	code -49|incscale2 Turmoil|unrest 3
2379	The locals are conducting demon worship.	0	The locals are conducting demon worship.	rare 2|land 1|code 0|0x4300 -44	code -49|incdom -3|incscale2 Turmoil
2380	A calf has been born with three heads.	0	A calf has been born with three heads.	rare 1|land 1|code 0|0x4300 -44	code -49|incscale2 Turmoil|unrest 3
2381	A calf has been born with three heads.	2	A calf has been born with three heads.	0x4600 1|maxdominion 3|land 1|code 0|capital 0	code -49|incscale2 Turmoil|unrest 3
2382	A Damned Merchant is offering his servic	0	A Damned Merchant is offering his services. [Damned Merchant]	rare 1|freesites 1|unique 4|code -49	newsite -1
2383	A prosperous farmer has been caught red-	0	A prosperous farmer has been caught red-handed when performing blood sacrifice in his barn. When confronted he summoned a devil to defend him!	rare 4|farm 1|code -49	code 0|1com Storm Demon|1com Peasant|addequip 1|bloodboost 1
2384	One of your mages seem to have struck a 	0	One of your mages seem to have struck a secret deal with infernal powers. They have now claimed their prize.	rare 1|0x7A00 53|0x7E00 0|code -49	code 0|otherplane -12|bloodboost 1
2385	One of your mages seem to have struck a 	0	One of your mages seem to have struck a secret deal with infernal powers. They have now claimed their prize.	rare 1|0x7A00 53|0x7E00 0|code -49	code 0|otherplane -12|fireboost 1
2386	One of your mages seem to have struck a 	0	One of your mages seem to have struck a secret deal with infernal powers. They have now claimed their prize.	rare 1|0x7A00 53|0x7E00 0|code -49	code 0|otherplane -13|waterboost 1
2387	One of your mages has struck a deal with	0	One of your mages has struck a deal with infernal powers. In exchange for power he has been cursed with an unnatural hunger that will bring suffering to the innocent.	rare 1|0x7A00 7|0x7E00 0|0x8000 1|code -49	code 0|0x6C00 0|bloodboost 1
2388	A mage in your service has tried to tric	0	A mage in your service has tried to trick a demon of its secrets, but when granted his wish to see the truth, the mage was struck blind!	rare 1|0x7A00 7|0x7E00 0|0x8000 1|code -49	code 0|0x6C00 4096
2389	One of your mages have been seduced by t	0	One of your mages have been seduced by the power of blood magic and attempted to summon a demon. The summoning seems to have been successful.	rare 1|0x7B00 7|lab 1|unique 6|code -49	code 0|nation -2|1com Devil
2390	One of your mages have been seduced by t	0	One of your mages have been seduced by the power of blood magic and attempted to summon a demon. The summoning seems to have been unsuccessful.	rare 1|0x7B00 7|lab 1|unique 6|code -49	code 0|assassin Devil
2391	One of your mages have been seduced by t	0	One of your mages have been seduced by the power of blood magic and attempted to summon a demon. The summoning seems to have been successful.	rare 1|0x7B00 7|lab 1|gem 7|code -49	code 0|nation -2|1com Succubus|gemloss Slaves
2392	One of your mages have been seduced by t	0	One of your mages have been seduced by the power of blood magic and attempted to summon a demon. The summoning was successful, but the spell bonds were to weak to contain the fiend.	rare 1|0x7B00 7|lab 1|gem 7|code -49	code 0|assassin Succubus|gemloss Slaves
2393	A demon jester has come to mock you.	0	A demon jester has come to mock you.	rare 6|0x7E00 1|land 1|code -49	code 0|nation -2|1unit Demon Jester
2394	One of your mages has conjured a devil.	0	One of your mages has conjured a devil.	rare 1|0x7B00 7|lab 1|0x7E00 0|code -49	code 0|1com Devil
2395	A gateway to the lower realms has opened	0	A gateway to the lower realms has opened, spewing forth inhabitants of that dismal place! [Demon Gate]	rare 1|freesites 1|unique 3|code -49	code 0|3com Fiend of Darkness|3d6units Fiend of Darkness|newsite -1
2396	People have been disappearing. Alien cre	0	People have been disappearing. Alien creatures skulk in the night. Locals have given offerings of blood to appease the evil apparitions. [Demon Gate]	rare 1|unique 2|freesites 1|code -49	incdom -2|kill 1|0x4200 -1|stealthcom Fiend of Darkness|2d6units Fiend of Darkness
2397	A conjurer of demons has appeared to stu	0	A conjurer of demons has appeared to study the art of Blood Magic under a true master. [Sanguine Dowsing Rod]	rare 5|pathblood 5|unique 2|lab 1|code -49	nation -2|1com Circle Master|addequip 9
2398	A warlock has been caught red-handed. Hi	0	A warlock has been caught red-handed. His virgins were confiscated.	rare 2|code -49	3d6gems Slaves
2399	Your temple has been desecrated! Evil sy	0	Your temple has been desecrated! Evil symbols were written in blood on its altar and the remains of a human sacrifice was found.	rare 5|temple 1|code -49	incdom -5|incscale2 Turmoil
2400	It is said that there was once an order 	0	It is said that there was once an order of knights in the land. They were destroyed by their own weakness when the Grand Master fell to temptation. The fallen knights have now returned from hell. [Heart Finder Sword]	turn 15|rare 2|unique 1|code -49	code 0|1com Succubus|1com Demon Knight|addequip 9|2d6units Demon Knight
2401	Demons are hiding in the province, sprea	0	Demons are hiding in the province, spreading their evil. [Bane Venom Charm]	rare 1|code -49	stealthcom Fiend of Darkness|addequip 9|2d6units Fiend of Darkness
2402	One of your servants has disappeared.	1	One of your servants has disappeared.	0x7E00 0|commander 1|code -49	code 0|otherplane -12|fireboost 1
2403	One of your servants has disappeared.	1	One of your servants has disappeared.	0x7E00 0|commander 1|code -49	code 0|otherplane -13|waterboost 1
2404	One of your servants has disappeared.	1	One of your servants has disappeared.	0x7E00 0|commander 1|code -49	code 0|otherplane -11|astralboost 1
2405	Chaotic energies leak from the demon gat	0	Chaotic energies leak from the demon gate. A very powerful blood-mage may be able to control them. [The Demon Gate]	foundsite 1|rare 30|0x4300 -44|code 0	code -2|decscale1 Drain|incscale2 Turmoil|unrest 30
2406	Demons have manifested!	0	Demons have manifested!	rare 2|code -49	code 0|2com Spine Devil|2d6units Spine Devil|incscale2 Turmoil
2407	Demons have manifested!	0	Demons have manifested!	rare 1|code -49	code 0|2com Frost Fiend|2d6units Frost Fiend|incscale2 Turmoil|incscale2 Cold
2408	Demons have manifested!	0	Demons have manifested!	rare 2|code -49	code 0|2com Storm Demon|1d6units Storm Demon|incscale2 Turmoil
2409	Demons have manifested!	0	Demons have manifested!	rare 1|code -49	code 0|2com Spine Devil|2d6units Spine Devil|incscale2 Turmoil
2410	 A demon has possessed a herd of swine a	0	 A demon has possessed a herd of swine and ravaged the province for a week.	rare 4|code -49	code 0|incscale2 Misfortune|unrest 15
2411	A malevolent conjurer, jealous of your p	0	A malevolent conjurer, jealous of your power, sent a demon to slay your commander.	rare 2|commander 1|code -49	code 0|assassin Raksharaja
2412	There is a fabulously rich miller in thi	0	There is a fabulously rich miller in this land. Some say he has made a pact with demons, making the wind always blow to turn the mill. [Enchanted Windmill]	rare 15|0x4300 -44|hiddensite 1	
2413	The Enchanted Mill is grinding its magic	0	The Enchanted Mill is grinding its magic like never before! [Enchanted Windmill]	rare 15|0x4300 -44|foundsite 1	3d6gems Air|incscale2 Turmoil|incdom -3
